id;start_date;end_date;language
1;2019-07-11T14:28:12;2019-07-11T07:36:29;FRENCH
2;2019-07-11T15:58:18;2019-07-11T01:04:28;SPANISH
3;2019-07-11T11:30:22;2019-07-11T02:54:22;SPANISH
4;2019-07-11T00:42:13;2019-07-11T08:09:15;SPANISH
5;2019-07-11T09:40:52;2019-07-11T14:25:01;FRENCH
6;2019-07-11T15:57:53;2019-07-11T17:14:49;ENGLISH
7;2019-07-11T01:20:13;2019-07-11T14:01:00;SPANISH
8;2019-07-10T22:51:32;2019-07-11T06:51:41;SPANISH
9;2019-07-11T08:39:38;2019-07-11T17:04:16;SPANISH
10;2019-07-11T11:57:47;2019-07-11T09:14:02;ENGLISH
